source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,zone_id
timesofindia.indiatimes,http://timesofindia.indiatimes.com/india/13-killed-as-rains-wrack-havoc-in-north-and-eastern-India-/articleshow/6532367.cms,2411,09-10-2010 00:00,,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province","Sep 10, 2010, 09.40pm IST  NEW DELHI: Thirteen people were killed as heavy monsoon rains wracked havoc in north and east India, triggering landslides and inundating lakhs of acres of farmland on Friday.  At least eight people were buried alive under the debris following massive landslides triggered by incessant rains in Arunachal Pradesh.  One person was drowned and around 1.5 lakh people were affected in the flash floods which hit the northern Assam districts of Lakhimpur, Dhemaji, Golaghat and Sonitpur following incessant rains in the upper reaches.","districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",unknown,landslide,downpour,medium,unknown,0.0,,,,,glc,2411.0,India,IN,Arunāchal Pradesh,26912.0,Naharlagun,11.91035,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.7273,27.0011,papum_pare_arunachal_pradesh
rttnews,http://www.rttnews.com/ArticleView.aspx?Id=758386&SMap=1,869,10/29/2008 12:00:00 AM,,North Lakhimpur ,"flooding and landslides, Floods and landslides caused by heavy rains over the last three days have killed at least seven people and displaced thousands more in the northeastern states of India",North Lakhimpur ,50km,landslide,downpour,medium,unknown,,,,,,glc,869.0,India,IN,Assam,59841.0,North Lakhimpur,1.31739,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.1167,27.2333,papum_pare_arunachal_pradesh
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2011-08-06/guwahati/29861700_1_water-supply-drinking-water-landslides,3881,08-05-2011 00:00,,Itanagar,"ITANAGAR: Heavy rainfall in the past 12 hours wrecked havoc in the Arunachal Pradesh capital with almost all major roads leading to the town being snapped off in many areas on the NH 52-A.  Rain induced landslides have cut off several places from the rest of the state, while many places within the capital complex near Karsingsa sinking zone, Lekhi village, A-sector Naharlagun and the Papunallah area have been severely affected by the calamity.  A bridge at Abotani Colony in Itanagar has been rendered unusable as siltation on the banks of the stream gave away. The onus for maintaining the bridge, which is frequented by VIPs, has fallen on the PWD as the urban department has expressed its inability to maintain the structure, official sources informed.",Itanagar,5km,landslide,downpour,medium,unknown,0.0,,,,,glc,3881.0,India,IN,Arunāchal Pradesh,26912.0,Naharlagun,0.67751,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.6885,27.1034,papum_pare_arunachal_pradesh
ibnlive.in.com,http://ibnlive.in.com/news/massive-landslide-in-arunachal-due-to-rainfall-2-districts-remain-cut-off/420409-3-229.html,5442,09-02-2013 00:00,,Arunachal Pradesh,"With improvement in the weather, the water level of major rivers in Eastern Arunachal showed a receding trend even as West and Upper Siang districts in the state remained cut off due to massive landslides triggered by torrential rain. Chief Minister Nabam Tuki on Saturday undertook an aerial survey of the affected areas accompanied by Chief Secretary Hari Krishna and Secretary, Disaster Management, Kapa Kholie, officials said on Sunday. Reports had poured in of the Noa Dihing River rising over danger level and inundating portions of Dumpani and four other villages under Diyun circle in Changlang district. At least 13,246 people of eleven villages have been affected by the current wave of flood. Landing at Diyun, Tuki took first hand report of the situation from local Legislator C C Singpho and officials of the district administration, sources said. The swollen river has triggered landslides in at least seven villages while about 85 hectares have been submerged in five villages, they sa",Arunachal Pradesh,unknown,landslide,downpour,large,unknown,,,,,,glc,5442.0,India,IN,Arunāchal Pradesh,26912.0,Naharlagun,8.47346,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.7525,27.1614,papum_pare_arunachal_pradesh
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/three-killed-in-landslides/758753.html,3806,07/19/2011 12:00:00 AM,,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)","Three killed in landslides PTI | 02:07 PM,Jul 19,2011  Itanagar, July 19 (PTI) Three persons including two minors were buried alive, while several others were seriously injured this morning when massive landslides triggered by torrential rain washed away several dwellings in and around the state capital, police sources said. A three-year-old girl died when landslide hit her house near Pachali power house while a 4 year boy died when his house caved in near Heema Hospital and one person was buried alive at Romik Colony at P Sector here this morning, city Superintendent of Police Chuku Appa said. Several injured people were admitted to hospitals here while conditions of a few are stated to be critical, the SP added. Incessant rain during the past couple of days triggered massive landslips today in several points along the NH 52 (A) disrupting surface communication between Itanagar to Banderdewa and Itanagar to Hollongi. The state PWD along with Border Road Task Force (BRTF) cleared all t","Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)",10km,landslide,downpour,medium,unknown,3.0,,,,,glc,3806.0,India,IN,Arunāchal Pradesh,26912.0,Naharlagun,0.6921,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.6884,27.1032,papum_pare_arunachal_pradesh
morungexpress,http://www.morungexpress.com/regional/1615.html,714,08/14/2008 12:00:00 AM,,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",landslides triggered in various parts of Arunachal Pradesh,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",50km,landslide,rain,medium,unknown,,,,,,glc,714.0,India,IN,Assam,59841.0,North Lakhimpur,13.00939,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.0,27.163,papum_pare_arunachal_pradesh
webindia123,http://news.webindia123.com/news/Articles/India/20150820/2664183.html,7334,08/18/2015 12:00:00 AM,,Arunachal Pradesh,"Tamil Nadu Chief Minister J Jayalalithaa today announced a solatium of Rs ten lakhs to the family of an armyman who died while involved in 'Operation Falcon' in Arunachal Pradesh on August 18. In a statement here, she said she was grieved to hear that armyman Subedar G Annamalai, hailing from Periyapalambakkam village in Vellore district, slipped and fell after evacuating his colleagues during a landslip. She said Annamalal, who was involved in wiring operations when the landslip occurred, rescued all his colleagues, but slipped and fell and suffered head injuries. He died on the spot. Expressing her heartfelt condolences to the bereaved family, Ms Jayalalithaa announced a solatium of Rs ten lakhs to the family.",Arunachal Pradesh,unknown,landslide,unknown,medium,unknown,1.0,0.0,,,,glc,7334.0,India,IN,Arunachal Pradesh,18425.0,Along,4.04762,08/21/2015 09:58:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.7596,28.1737,west_siang_arunachal_pradesh
One India News,http://news.oneindia.in/india/flood-landslides-in-arunachal-pradesh-1504142.html,6200,08/17/2014 12:00:00 AM,,Arunachal Pradesh/Itanagar,lat/long  27.086901	93.60861,Arunachal Pradesh/Itanagar,10km,landslide,downpour,large,unknown,0.0,0.0,,,,test,6200.0,India,IN,Arunachal Pradesh,44971.0,Itānagar,0.12577,09-08-2014 00:58,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.6086,27.0869,papum_pare_arunachal_pradesh
ukpress.google,http://ukpress.google.com/article/ALeqM5iM8gWKcS4OLf66hwzNMnaybAaZYA,585,06/14/2008 12:00:00 AM,,"Itanagar-Naharlagun, Arunachal Pradesh","bodies pulled from debris in and around Itnagar, 300 mud huts washed away at banks of Dikrong river","Itanagar-Naharlagun, Arunachal Pradesh",25km,landslide,rain,large,unknown,21.0,,,,,glc,585.0,India,IN,Arunāchal Pradesh,44971.0,Itānagar,2.34889,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.6287,27.0998,papum_pare_arunachal_pradesh
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/flash-floods-landslides-in-arunachal-pradesh/757817.html,3776,07/15/2011 06:00:00 PM,,Itanagar/Naharlagur/Nirjuli,"Meanwhile, massive rains have caused havoc in Seppa depositing boulders and loose sediments in various places in the township. The main thoroughfare Bazaarline and ALC line have been hit hard by the ravaging flood. Landslips also disrupted water supply in the twin capital cities of Itanagar and Naharlagun since yesterday. The 300 mm diameter ductile iron pipe carrying water from Nyroch river, one of the major sources that feeds about eight thousand population of Naharlagun and Nirjuli, was washed away at Tarajuli last evening. Flashflood cut off Seijosa in East Kameng district from rest of the state forcing people to abandon their homes and damaged colonies, mainly the medical, teacher and veterinary colonies, besides damaging the approach road to the government higher secondary school boys hostel, the sources added.",Itanagar/Naharlagur/Nirjuli,5km,landslide,downpour,small,unknown,0.0,,,,,glc,3776.0,India,IN,Arunāchal Pradesh,26912.0,Naharlagun,2.95672,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.7145,27.125,papum_pare_arunachal_pradesh
